klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
aleksic-cabernet-franc,Aleksić,Cabernet Franc,,,net_na_vivino,,False,True,Vranjski rejon,,konkurs,красное
aleksic-code,Aleksić,Code,,,net_na_vivino,,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,розе
aleksic-kardas-limited,Aleksić,Kardas Limited,,,net_na_vivino,,False,True,Vranjski rejon,,konkurs,красное
aleksic-kardas,Aleksić,Kardaš,,,net_na_vivino,,False,True,Vranjski rejon,,konkurs,красное
aleksic-kardas-cabernet-sauvignon,Aleksić,Kardaš Cabernet Sauvignon,2022760,https://www.vivino.com/w/2022760,ocenka_est,5124,False,True,Vranjski rejon,,konkurs,красное
aleksic-kontra,Aleksić,Kontra,12146637,https://www.vivino.com/w/12146637,malo_ocenok,40,False,True,Vranjski rejon,,konkurs,красное
aleksic-limited-bonaca-chardonnay,Aleksić,Limited Bonaca Chardonnay,1636290,https://www.vivino.com/w/1636290,ocenka_est,621,False,True,Vranjski rejon,,konkurs,белое
aleksic-limited-kardas-cabernet-sauvignon,Aleksić,Limited Kardaš Cabernet Sauvignon,2399656,https://www.vivino.com/w/2399656,ocenka_est,1785,False,True,Vranjski rejon,,konkurs,красное
aleksic-morava,Aleksić,Morava,12651500,https://www.vivino.com/w/12651500,ocenka_est,310,False,True,Vranjski rejon,,konkurs,белое
aleksic-mozaik-pinot-noir,Aleksić,Mozaik Pinot Noir,,,net_na_vivino,,False,True,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,
aleksic-mozaik-rose,Aleksić,Mozaik Rosé,8362322,https://www.vivino.com/w/8362322,ocenka_est,606,False,False,Vranjski rejon,Vrtogoško vinogorje,hozyaistvo,розе
aleksic-nostalgija,Aleksić,Nostalgija,2345431,https://www.vivino.com/w/2345431,ocenka_est,10631,False,True,Niški rejon,,konkurs,красное
